study_hours,attendance,previous_score,sleep_hours,extra_activities,internet_access,final_score,result
6.2,68.5,62.4,6.4,No,Yes,58.4,Pass
5.4,70.5,75.0,7.2,No,Yes,58.2,Pass
4.1,76.0,66.5,7.6,Yes,No,33.6,Fail
5.4,72.3,84.4,6.4,No,Yes,57.8,Pass
7.1,54.2,54.2,8.7,No,Yes,57.8,Pass
2.9,87.0,76.2,6.8,No,Yes,59.9,Pass
5.3,65.1,62.1,6.1,Yes,No,41.2,Pass
3.6,80.9,64.0,4.6,No,Yes,39.2,Fail
7.4,100.0,66.4,6.2,No,Yes,73.6,Pass
2.0,67.0,68.8,6.1,No,No,20.4,Fail
3.9,47.6,63.3,7.7,No,Yes,42.7,Pass
5.8,74.6,68.2,7.1,Yes,Yes,39.9,Fail
8.1,91.2,88.7,5.1,No,Yes,77.5,Pass
4.9,100.0,79.8,6.7,Yes,Yes,57.8,Pass
3.9,63.2,78.0,7.3,No,No,53.9,Pass
8.8,84.0,58.2,8.3,No,Yes,66.1,Pass
2.1,72.4,51.7,7.6,Yes,Yes,25.3,Fail
0.6,76.7,79.3,7.4,No,Yes,54.4,Pass
5.9,100.0,78.1,6.6,No,Yes,76.2,Pass
4.0,60.0,87.1,7.0,Yes,Yes,59.0,Pass
3.0,81.0,55.9,8.0,No,Yes,34.4,Fail
6.4,83.6,61.6,4.9,Yes,Yes,50.4,Pass
5.5,91.0,40.4,6.1,No,Yes,46.9,Pass
3.9,79.2,59.1,5.6,No,No,30.8,Fail
2.4,81.7,79.9,7.0,No,Yes,63.5,Pass
6.7,73.3,58.0,8.0,No,Yes,53.3,Pass
6.3,81.2,74.6,5.8,No,Yes,28.3,Fail
4.8,73.9,62.1,3.6,No,No,41.5,Pass
8.7,85.5,69.9,6.0,Yes,Yes,61.0,Pass
2.9,73.6,47.8,7.6,No,Yes,36.3,Fail
1.9,82.5,66.3,7.1,No,Yes,37.6,Fail
3.6,77.6,20.1,7.0,Yes,Yes,41.3,Pass
4.9,91.5,62.2,6.2,No,Yes,61.6,Pass
5.5,77.4,40.5,5.0,No,No,38.8,Fail
4.5,56.7,83.1,7.1,No,No,39.3,Fail
5.7,93.1,76.7,5.5,Yes,Yes,58.5,Pass
2.5,67.1,72.0,9.1,Yes,Yes,45.2,Pass
7.9,70.2,87.8,7.2,Yes,Yes,56.8,Pass
4.8,70.9,50.8,5.8,No,Yes,47.0,Pass
7.2,94.5,91.2,5.8,Yes,No,68.0,Pass
5.7,52.4,79.0,6.4,No,Yes,63.7,Pass
5.9,100.0,61.5,6.2,Yes,Yes,69.9,Pass
6.1,90.7,82.0,7.8,No,Yes,54.5,Pass
5.9,80.7,48.4,6.7,Yes,Yes,57.3,Pass
6.3,77.3,52.6,5.6,No,Yes,38.1,Fail
7.7,81.4,55.9,8.8,Yes,Yes,66.0,Pass
5.4,84.3,57.1,6.6,No,Yes,43.8,Pass
6.4,85.7,49.2,7.4,Yes,No,37.6,Fail
4.8,84.7,83.3,5.8,No,Yes,57.2,Pass
7.9,79.1,61.1,6.9,No,Yes,30.0,Fail
3.6,75.6,70.3,6.9,Yes,Yes,30.2,Fail
8.6,76.2,56.4,4.2,No,Yes,52.2,Pass
4.9,75.7,37.7,8.9,No,Yes,42.7,Pass
2.1,91.6,69.1,8.0,Yes,Yes,44.2,Pass
5.3,85.1,36.3,6.0,No,Yes,26.3,Fail
3.6,42.7,64.0,5.2,Yes,Yes,27.7,Fail
6.7,85.9,44.5,6.9,No,No,48.7,Pass
3.7,80.3,94.8,6.6,No,Yes,60.0,Pass
4.1,77.8,78.7,6.9,Yes,Yes,52.1,Pass
1.2,73.3,66.6,6.7,No,Yes,48.2,Pass
4.1,91.5,84.0,7.1,No,Yes,59.4,Pass
0.2,89.4,52.3,8.2,No,Yes,27.4,Fail
1.8,68.7,73.2,7.2,No,No,31.9,Fail
6.5,82.9,68.0,5.2,No,Yes,39.8,Fail
6.6,66.3,69.0,8.1,No,No,47.1,Pass
5.9,61.4,84.1,8.5,Yes,Yes,67.9,Pass
3.1,70.5,76.0,10.0,No,Yes,54.6,Pass
4.9,88.3,69.3,5.2,No,Yes,64.8,Pass
5.0,89.4,40.2,6.8,No,No,36.2,Fail
2.7,84.2,50.6,4.0,No,Yes,49.8,Pass
8.0,86.7,63.2,7.2,No,No,52.9,Pass
6.8,84.2,66.4,5.8,No,No,64.9,Pass
4.6,70.3,48.0,8.8,No,No,37.4,Fail
5.1,83.2,100.0,5.6,Yes,Yes,68.8,Pass
5.4,87.6,87.7,4.5,No,Yes,71.7,Pass
0.9,87.1,74.0,5.9,No,Yes,38.6,Fail
4.5,92.3,66.1,4.1,Yes,Yes,52.7,Pass
3.6,86.5,61.8,7.4,No,Yes,59.3,Pass
3.0,82.2,50.7,4.0,No,Yes,35.4,Fail
4.4,90.8,66.2,6.5,Yes,Yes,39.1,Fail
8.6,77.7,68.9,4.0,Yes,Yes,81.3,Pass
6.3,67.4,46.4,6.1,Yes,Yes,41.1,Pass
3.9,76.0,70.0,8.5,No,Yes,49.8,Pass
6.1,69.1,62.7,6.9,Yes,Yes,62.8,Pass
